algoritmo,n_clusters,CH,Silhouette,tiempo,k,muestra,threshold,eps,min_samples,quantile,bandwidth
kmeans,2,30355.25755738916,0.5316592321011172,0.12853479385375977,2.0,,,,,,
kmeans,3,26868.973380010113,0.5396238536489751,0.07259535789489746,3.0,,,,,,
kmeans,4,29978.155706150654,0.6074637117284223,0.06269025802612305,4.0,,,,,,
kmeans,5,30955.57038522366,0.6317400182516045,0.09062385559082031,5.0,,,,,,
kmeans,6,30427.73910958274,0.5417193751842815,0.11333441734313965,6.0,,,,,,
kmeans,7,27663.47740235006,0.4605889191320498,0.16754364967346191,7.0,,,,,,
kmeans,8,28518.963981370594,0.5199808041957599,0.10599946975708008,8.0,,,,,,
agg_ward,2,2939.56934847092,0.5195937125598022,0.19460701942443848,2.0,3000.0,,,,,
agg_ward,3,2561.4512556797545,0.5283297688896849,0.1432034969329834,3.0,3000.0,,,,,
agg_ward,4,2697.526105494833,0.5924086981086382,0.1322014331817627,4.0,3000.0,,,,,
agg_ward,5,3051.632389126664,0.6284706573385662,0.13413500785827637,5.0,3000.0,,,,,
agg_ward,6,2957.0802936300033,0.5405465090500411,0.13694000244140625,6.0,3000.0,,,,,
agg_ward,7,2827.561452595582,0.47683546147085965,0.1289680004119873,7.0,3000.0,,,,,
agg_ward,8,2751.845950959384,0.5287671631964656,0.13014721870422363,8.0,3000.0,,,,,
birch,2,30202.584291212686,0.5390872302901673,0.21942400932312012,2.0,,0.5,,,,
birch,3,24386.33673836159,0.5177822183500715,0.17076992988586426,3.0,,0.5,,,,
birch,4,29328.500441038545,0.6022861812979247,0.15847325325012207,4.0,,0.5,,,,
birch,5,30934.853818367024,0.6324438126501291,0.1560828685760498,5.0,,0.5,,,,
birch,5,30934.853818367024,0.6324438126501291,0.15780258178710938,6.0,,0.5,,,,
birch,5,30934.853818367024,0.6324438126501291,0.1691737174987793,7.0,,0.5,,,,
birch,5,30934.853818367024,0.6324438126501291,0.15816164016723633,8.0,,0.5,,,,
dbscan,33,6848.969359881646,0.3157202569577781,4.0185253620147705,,,,0.2,20.0,,
dbscan,23,12284.611917919901,0.4078290903590507,4.224453687667847,,,,0.2,50.0,,
dbscan,10,15883.58297275991,0.6360511324042848,5.557952165603638,,,,0.3,20.0,,
dbscan,8,20258.908172348598,0.6373949033586614,5.435577392578125,,,,0.3,50.0,,
dbscan,8,20278.77610417033,0.6376833375772792,5.524781227111816,,,,0.4,20.0,,
dbscan,8,20308.240506096045,0.6374447429298609,5.585226774215698,,,,0.4,50.0,,
dbscan,4,292.3974126255319,0.20511051638513592,5.817523717880249,,,,0.5,20.0,,
dbscan,4,290.96043622040594,0.1950234273076678,5.781307697296143,,,,0.5,50.0,,
meanshift,16,1705.4033773923363,0.5455115184396037,0.31009817123413086,,3000.0,,,,0.1,0.424088662849041
meanshift,8,2094.5440524756664,0.6417656121574176,0.36162519454956055,,3000.0,,,,0.2,0.619540926108274
meanshift,8,2094.5440524756664,0.6417656121574176,0.4111979007720947,,3000.0,,,,0.3,0.6769006948160673
