algoritmo,n_clusters,CH,Silhouette,tiempo,k,muestra,threshold,eps,min_samples,quantile,bandwidth
kmeans,2,2553.470094705968,0.674594500441324,0.08418083190917969,2.0,,,,,,
kmeans,3,2096.6683132146172,0.5695371001606809,0.08801603317260742,3.0,,,,,,
kmeans,4,1999.8168439433348,0.5902352942330267,0.09621334075927734,4.0,,,,,,
kmeans,5,1858.0701763081304,0.6007858097231779,0.34328794479370117,5.0,,,,,,
kmeans,6,1670.7619536961902,0.564653667549114,0.17557024955749512,6.0,,,,,,
kmeans,7,1817.3633173314486,0.621533822575322,0.3991422653198242,7.0,,,,,,
kmeans,8,1746.9423560216196,0.6460479638253508,0.1581718921661377,8.0,,,,,,
agg_ward,2,584.1120884298925,0.6747042274746612,0.289870023727417,2.0,3000.0,,,,,
agg_ward,3,491.2908243855538,0.6473468487682285,0.28977298736572266,3.0,3000.0,,,,,
agg_ward,4,451.4477907070992,0.38984969171001094,0.2349715232849121,4.0,3000.0,,,,,
agg_ward,5,431.12667184659364,0.39765572293882817,0.1866919994354248,5.0,3000.0,,,,,
agg_ward,6,418.5479407828059,0.40302912068551117,0.2376556396484375,6.0,3000.0,,,,,
agg_ward,7,410.30808528599954,0.4105213788937294,0.20243453979492188,7.0,3000.0,,,,,
agg_ward,8,411.22802483208176,0.5609931585673625,0.30527281761169434,8.0,3000.0,,,,,
birch,2,1263.9157298325902,0.6541898543119185,0.649970293045044,2.0,,0.5,,,,
birch,3,914.414659772391,0.6414772152747362,0.38634204864501953,3.0,,0.5,,,,
birch,4,1015.0950794932216,0.6551232624450326,0.11477923393249512,4.0,,0.5,,,,
birch,5,962.76552123769,0.6628746178177586,0.11787104606628418,5.0,,0.5,,,,
birch,6,905.6978079171237,0.6590316346214741,0.21937203407287598,6.0,,0.5,,,,
birch,7,825.0146695746976,0.6600794012639463,0.12983012199401855,7.0,,0.5,,,,
birch,8,795.7373087443367,0.6347339882128515,0.14043664932250977,8.0,,0.5,,,,
dbscan,21,4445.466171570306,0.7778871163183433,2.0748825073242188,,,,0.2,20.0,,
dbscan,8,7915.088051234018,0.7766925141347827,1.8154594898223877,,,,0.2,50.0,,
dbscan,18,1760.0506267626924,0.676407389044619,2.2861742973327637,,,,0.3,20.0,,
dbscan,7,3044.124025707306,0.8016691951856041,2.0528066158294678,,,,0.3,50.0,,
dbscan,18,1661.5064388868207,0.7366542825896668,2.3742501735687256,,,,0.4,20.0,,
dbscan,8,2418.40336230216,0.7646573848313821,2.14843487739563,,,,0.4,50.0,,
dbscan,3,748.148811744473,0.6799547847553746,2.1009585857391357,,,,0.5,20.0,,
dbscan,3,734.6289201507952,0.697376317538971,2.0483415126800537,,,,0.5,50.0,,
meanshift,286,302.02862970076666,0.7188131250819698,0.42510008811950684,,3000.0,,,,0.1,0.25634466159386426
meanshift,286,302.02862970076666,0.7188131250819698,0.6381363868713379,,3000.0,,,,0.2,0.2577025236383303
meanshift,286,302.02862970076666,0.7188131250819698,0.8803322315216064,,3000.0,,,,0.3,0.2577025236383303
