iter	Passed	Remaining
0	59	119108
1	121	121204
2	187	124579
3	248	124043
4	309	123451
5	371	123434
6	434	123809
7	512	127546
8	575	127259
9	641	127612
10	706	127710
11	773	128179
12	839	128282
13	906	128561
14	973	128792
15	1040	129018
16	1106	129051
17	1168	128676
18	1240	129382
19	1308	129503
20	1374	129573
21	1438	129346
22	1503	129209
23	1563	128762
24	1629	128762
25	1692	128531
26	1755	128252
27	1821	128278
28	1886	128187
29	1951	128122
30	2014	127979
31	2078	127797
32	2138	127473
33	2203	127423
34	2264	127159
35	2334	127353
36	2396	127132
37	2458	126954
38	2524	126942
39	2586	126724
40	2650	126631
41	2712	126473
42	2774	126274
43	2837	126139
44	2900	125998
45	2962	125823
46	3027	125800
47	3088	125581
48	3150	125448
49	3209	125184
50	3274	125125
51	3337	125014
52	3410	125287
53	3473	125170
54	3537	125103
55	3597	124876
56	3657	124674
57	3722	124652
58	3788	124636
59	3853	124597
60	3913	124385
61	3976	124288
62	4039	124212
63	4103	124117
64	4168	124098
65	4231	124000
66	4294	123903
67	4356	123772
68	4420	123696
69	4490	123805
70	4555	123773
71	4616	123620
72	4681	123568
73	4746	123532
74	4811	123502
75	4875	123418
76	4935	123271
77	5001	123242
78	5062	123100
79	5123	122970
80	5184	122833
81	5246	122723
82	5310	122643
83	5375	122623
84	5437	122509
85	5507	122584
86	5571	122512
87	5637	122486
88	5702	122445
89	5764	122339
90	5825	122210
91	5890	122161
92	5955	122129
93	6021	122096
94	6084	122004
95	6149	121959
96	6213	121899
97	6274	121784
98	6340	121746
99	6402	121646
100	6462	121514
101	6534	121588
102	6597	121508
103	6660	121418
104	6721	121312
105	6785	121247
106	6851	121209
107	6913	121112
108	6975	121018
109	7041	120977
110	7105	120915
111	7170	120868
112	7232	120777
113	7297	120730
114	7359	120638
115	7421	120540
116	7483	120441
117	7554	120492
118	7616	120393
119	7679	120313
120	7744	120268
121	7808	120193
122	7869	120092
123	7933	120031
124	8000	120000
125	8063	119934
126	8129	119890
127	8192	119818
128	8255	119729
129	8315	119622
130	8378	119538
131	8463	119775
132	8523	119654
133	8596	119704
134	8659	119626
135	8726	119607
136	8789	119518
137	8854	119476
138	8917	119388
139	8983	119356
140	9048	119296
141	9111	119217
142	9179	119203
143	9241	119115
144	9307	119077
145	9372	119023
146	9440	119001
147	9505	118948
148	9579	119004
149	9646	118974
150	9711	118921
151	9776	118865
152	9843	118826
153	9907	118763
154	9969	118673
155	10032	118591
156	10097	118537
157	10163	118484
158	10226	118410
159	10288	118321
160	10351	118241
161	10417	118188
162	10483	118142
163	10557	118188
164	10623	118142
165	10686	118065
166	10750	117996
167	10812	117907
168	10878	117857
169	10940	117768
170	11004	117702
171	11064	117595
172	11127	117509
173	11187	117409
174	11247	117299
175	11315	117270
176	11380	117216
177	11446	117163
178	11509	117088
179	11583	117118
180	11648	117066
181	11713	117003
182	11777	116942
183	11841	116867
184	11906	116808
185	11969	116733
186	12035	116682
187	12097	116596
188	12162	116537
189	12222	116439
190	12285	116362
191	12347	116276
192	12409	116185
193	12474	116129
194	12547	116146
195	12611	116080
196	12673	115990
197	12735	115909
198	12798	115827
199	12861	115754
200	12926	115692
201	12994	115666
202	13057	115586
203	13120	115511
204	13185	115449
205	13248	115374
206	13310	115289
207	13374	115228
208	13437	115151
209	13510	115157
210	13574	115092
211	13636	115007
212	13700	114941
213	13764	114876
214	13827	114797
215	13891	114735
216	13954	114656
217	14021	114618
218	14084	114542
219	14148	114476
220	14211	114396
221	14276	114336
222	14340	114270
223	14403	114196
224	14474	114191
225	14540	114135
226	14604	114072
227	14667	113994
228	14730	113921
229	14791	113833
230	14859	113791
231	14922	113718
232	14987	113658
233	15049	113575
234	15114	113516
235	15177	113443
236	15239	113364
237	15303	113297
238	15364	113211
239	15434	113187
240	15499	113128
241	15562	113055
242	15625	112979
243	15690	112919
244	15754	112850
245	15822	112813
246	15885	112744
247	15949	112677
248	16013	112609
249	16078	112549
250	16143	112490
251	16210	112442
252	16278	112408
253	16342	112339
254	16416	112343
255	16480	112275
256	16544	112204
257	16609	112145
258	16674	112086
259	16740	112030
260	16807	111982
261	16874	111937
262	16942	111899
263	17011	111860
264	17076	111802
265	17140	111732
266	17209	111698
267	17277	111657
268	17343	111606
269	17410	111558
270	17486	111563
271	17570	111621
272	17632	111541
273	17694	111463
274	17758	111392
275	17821	111317
276	17885	111254
277	17951	111194
278	18013	111116
279	18074	111032
280	18139	110964
281	18202	110895
282	18265	110816
283	18327	110739
284	18391	110673
285	18453	110594
286	18526	110577
287	18588	110496
288	18654	110440
289	18719	110381
290	18782	110304
291	18846	110241
292	18908	110158
293	18972	110092
294	19035	110019
295	19102	109966
296	19165	109897
297	19231	109836
298	19293	109757
299	19358	109699
300	19424	109641
301	19494	109610
302	19560	109552
303	19621	109469
304	19687	109412
305	19750	109336
306	19816	109282
307	19880	109215
308	19945	109151
309	20009	109083
310	20074	109023
311	20138	108952
312	20202	108885
313	20265	108814
314	20331	108756
315	20395	108689
316	20467	108664
317	20534	108613
318	20596	108532
319	20660	108469
320	20726	108410
321	20790	108340
322	20853	108271
323	20916	108198
324	20983	108143
325	21050	108093
326	21112	108018
327	21172	107930
328	21236	107862
329	21300	107792
330	21361	107710
331	21424	107637
332	21496	107613
333	21559	107538
334	21623	107472
335	21690	107420
336	21756	107362
337	21821	107301
338	21885	107230
339	21951	107173
340	22013	107098
341	22078	107033
342	22142	106969
343	22210	106922
344	22275	106857
345	22337	106779
346	22399	106704
347	22486	106748
348	22556	106707
349	22620	106640
350	22722	106751
351	22795	106726
352	22863	106674
353	22931	106626
354	22998	106570
355	23066	106521
356	23128	106441
357	23191	106369
358	23254	106296
359	23322	106247
360	23387	106183
361	23460	106156
362	23530	106114
363	23595	106051
364	23661	105991
365	23727	105931
366	23790	105858
367	23853	105784
368	23914	105704
369	23981	105646
370	24044	105577
371	24106	105498
372	24171	105434
373	24234	105361
374	24304	105318
375	24370	105258
376	24432	105183
377	24497	105119
378	24571	105093
379	24637	105034
380	24702	104968
381	24767	104907
382	24830	104833
383	24893	104758
384	24957	104690
385	25020	104619
386	25083	104546
387	25148	104480
388	25212	104414
389	25277	104350
390	25343	104289
391	25405	104215
392	25470	104150
393	25533	104076
394	25605	104041
395	25671	103980
396	25734	103908
397	25799	103844
398	25863	103778
399	25929	103718
400	25993	103650
401	26059	103589
402	26123	103522
403	26186	103447
404	26248	103375
405	26311	103303
406	26375	103233
407	26444	103184
408	26511	103130
409	26590	103119
410	26665	103093
411	26729	103023
412	26792	102953
413	26854	102877
414	26922	102822
415	26990	102770
416	27055	102706
417	27121	102646
418	27188	102589
419	27250	102513
420	27313	102442
421	27376	102370
422	27441	102304
423	27502	102227
424	27564	102149
425	27629	102087
426	27705	102061
427	27767	101986
428	27829	101910
429	27892	101838
430	27956	101770
431	28018	101698
432	28081	101624
433	28144	101554
434	28206	101480
435	28273	101421
436	28336	101351
437	28404	101296
438	28467	101226
439	28528	101145
440	28591	101076
441	28664	101040
442	28729	100974
443	28791	100900
444	28856	100834
445	28918	100761
446	28983	100698
447	29048	100632
448	29114	100572
449	29179	100505
450	29241	100434
451	29310	100380
452	29373	100309
453	29439	100249
454	29502	100179
455	29568	100118
456	29630	100043
457	29701	100000
458	29765	99932
459	29830	99867
460	29894	99798
461	29956	99725
462	30017	99649
463	30083	99585
464	30146	99514
465	30205	99431
466	30272	99375
467	30334	99300
468	30398	99232
469	30458	99152
470	30521	99080
471	30584	99010
472	30646	98936
473	30721	98903
474	30781	98826
475	30847	98764
476	30909	98690
477	30971	98617
478	31035	98548
479	31096	98472
480	31160	98404
481	31221	98329
482	31283	98254
483	31345	98181
484	31409	98115
485	31472	98043
486	31537	97980
487	31600	97910
488	31666	97849
489	31741	97816
490	31807	97755
491	31871	97688
492	31935	97620
493	31997	97548
494	32061	97480
495	32125	97414
496	32189	97345
497	32253	97279
498	32315	97205
499	32378	97134
500	32438	97057
501	32504	96995
502	32568	96927
503	32630	96856
504	32696	96794
505	32770	96758
506	32830	96679
507	32893	96607
508	32957	96540
509	33024	96483
510	33089	96420
511	33159	96368
512	33222	96300
513	33290	96245
514	33358	96190
515	33426	96134
516	33495	96081
517	33562	96022
518	33627	95958
519	33692	95894
520	33768	95861
521	33832	95793
522	33894	95722
523	33959	95655
524	34020	95581
525	34083	95510
526	34145	95438
527	34207	95367
528	34273	95305
529	34336	95234
530	34398	95163
531	34464	95099
532	34528	95035
533	34590	94961
534	34664	94921
535	34739	94886
536	34803	94819
537	34868	94753
538	34931	94684
539	34998	94626
540	35060	94553
541	35122	94479
542	35187	94415
543	35247	94339
544	35311	94273
545	35374	94203
546	35439	94139
547	35518	94111
548	35580	94038
549	35643	93968
550	35714	93920
551	35776	93849
552	35838	93777
553	35905	93716
554	35969	93650
555	36034	93585
556	36098	93518
557	36168	93466
558	36233	93402
559	36294	93328
560	36358	93262
561	36421	93191
562	36491	93140
563	36567	93104
564	36645	93073
565	36710	93009
566	36785	92968
567	36850	92904
568	36913	92834
569	36973	92758
570	37035	92686
571	37103	92629
572	37166	92559
573	37229	92490
574	37294	92424
575	37356	92354
576	37418	92281
577	37483	92217
578	37550	92157
579	37613	92088
580	37675	92016
581	37748	91972
582	37814	91909
583	37877	91840
584	37942	91774
585	38005	91706
586	38069	91638
587	38132	91570
588	38195	91501
589	38261	91437
590	38326	91373
591	38392	91312
592	38455	91241
593	38518	91173
594	38586	91117
595	38654	91059
596	38727	91012
597	38794	90952
598	38857	90883
599	38918	90809
600	38982	90741
601	39045	90673
602	39110	90608
603	39173	90540
604	39239	90477
605	39303	90410
606	39365	90339
607	39429	90273
608	39492	90204
609	39554	90132
610	39617	90064
611	39695	90027
612	39760	89962
613	39826	89900
614	39889	89831
615	39953	89764
616	40014	89692
617	40078	89624
618	40146	89566
619	40209	89499
620	40274	89433
621	40335	89360
622	40401	89297
623	40462	89224
624	40529	89164
625	40595	89101
626	40665	89048
627	40729	88982
628	40795	88920
629	40861	88856
630	40937	88816
631	41017	88784
632	41080	88714
633	41143	88646
634	41206	88578
635	41268	88506
636	41338	88453
637	41404	88389
638	41465	88316
639	41526	88243
640	41593	88184
641	41664	88131
642	41730	88069
643	41796	88006
644	41860	87939
645	41922	87868
646	42000	87831
647	42063	87762
648	42127	87695
649	42189	87624
650	42252	87555
651	42318	87492
652	42381	87423
653	42445	87358
654	42509	87291
655	42569	87216
656	42634	87149
657	42705	87098
658	42767	87027
659	42830	86958
660	42895	86894
661	42962	86833
662	43027	86768
663	43090	86699
664	43155	86635
665	43217	86565
666	43280	86496
667	43343	86427
668	43408	86363
669	43474	86300
670	43537	86231
671	43603	86167
672	43668	86103
673	43740	86053
674	43801	85981
675	43866	85915
676	43928	85845
677	43992	85778
678	44057	85714
679	44123	85651
680	44188	85586
681	44254	85524
682	44321	85464
683	44384	85395
684	44448	85327
685	44513	85262
686	44575	85192
687	44642	85131
688	44706	85065
689	44778	85014
690	44844	84952
691	44908	84884
692	44972	84818
693	45035	84750
694	45097	84679
695	45163	84616
696	45225	84546
697	45289	84479
698	45352	84411
699	45413	84340
700	45478	84274
701	45540	84205
702	45607	84144
703	45670	84075
704	45755	84047
705	45826	83993
706	45893	83931
707	45956	83863
708	46022	83800
709	46083	83728
710	46149	83665
711	46211	83595
712	46275	83529
713	46340	83464
714	46403	83395
715	46469	83333
716	46534	83268
717	46601	83207
718	46669	83147
719	46737	83089
720	46817	83050
721	46888	82995
722	46956	82937
723	47025	82878
724	47092	82818
725	47160	82758
726	47232	82705
727	47294	82636
728	47357	82566
729	47419	82496
730	47487	82436
731	47550	82369
732	47614	82302
733	47675	82229
734	47738	82162
735	47811	82110
736	47875	82045
737	47941	81980
738	48004	81913
739	48071	81851
740	48134	81782
741	48199	81718
742	48263	81651
743	48325	81582
744	48388	81514
745	48451	81446
746	48514	81377
747	48579	81312
748	48646	81250
749	48709	81181
750	48780	81127
751	48847	81065
752	48913	81002
753	48976	80935
754	49040	80867
755	49108	80808
756	49169	80736
757	49233	80669
758	49295	80601
759	49364	80542
760	49430	80478
761	49494	80412
762	49562	80352
763	49629	80290
764	49700	80235
765	49766	80171
766	49845	80129
767	49912	80067
768	49983	80012
769	50048	79947
770	50117	79888
771	50182	79823
772	50244	79754
773	50305	79683
774	50365	79610
775	50435	79553
776	50501	79489
777	50569	79428
778	50631	79360
779	50695	79292
780	50758	79224
781	50829	79168
782	50895	79105
783	50959	79039
784	51022	78970
785	51085	78903
786	51154	78843
787	51218	78777
788	51281	78709
789	51346	78644
790	51412	78580
791	51477	78516
792	51540	78447
793	51604	78381
794	51670	78318
795	51733	78249
796	51808	78200
797	51873	78135
798	51938	78070
799	52002	78003
800	52065	77935
801	52130	77870
802	52193	77802
803	52257	77736
804	52319	77666
805	52384	77601
806	52448	77534
807	52511	77466
808	52576	77402
809	52643	77339
810	52705	77270
811	52779	77219
812	52845	77156
813	52912	77093
814	52975	77026
815	53040	76961
816	53106	76897
817	53170	76830
818	53235	76765
819	53298	76697
820	53364	76634
821	53430	76570
822	53493	76503
823	53556	76434
824	53618	76365
825	53681	76297
826	53754	76244
827	53821	76182
828	53893	76126
829	53957	76060
830	54021	75994
831	54088	75932
832	54153	75866
833	54218	75801
834	54283	75736
835	54347	75670
836	54409	75601
837	54473	75534
838	54539	75471
839	54603	75404
840	54666	75337
841	54742	75287
842	54808	75223
843	54875	75161
844	54940	75095
845	55006	75031
846	55070	74966
847	55131	74895
848	55194	74828
849	55258	74761
850	55329	74704
851	55405	74654
852	55471	74590
853	55534	74522
854	55598	74457
855	55661	74388
856	55736	74337
857	55799	74269
858	55862	74201
859	55927	74137
860	55992	74071
861	56055	74003
862	56118	73936
863	56179	73865
864	56242	73797
865	56307	73732
866	56370	73665
867	56436	73601
868	56498	73532
869	56563	73467
870	56626	73399
871	56702	73348
872	56765	73281
873	56827	73212
874	56893	73149
875	56959	73085
876	57021	73016
877	57083	72947
878	57148	72882
879	57214	72818
880	57276	72749
881	57340	72683
882	57406	72619
883	57469	72552
884	57531	72483
885	57596	72418
886	57670	72364
887	57736	72300
888	57798	72232
889	57863	72167
890	57926	72099
891	57988	72030
892	58054	71966
893	58116	71897
894	58177	71828
895	58241	71761
896	58318	71711
897	58381	71644
898	58445	71578
899	58508	71510
900	58572	71444
901	58639	71381
902	58711	71324
903	58772	71255
904	58833	71185
905	58896	71118
906	58958	71049
907	59023	70984
908	59086	70916
909	59149	70849
910	59215	70785
911	59280	70720
912	59343	70653
913	59408	70587
914	59471	70520
915	59535	70454
916	59599	70388
917	59673	70333
918	59735	70265
919	59794	70193
920	59858	70126
921	59920	70058
922	59985	69993
923	60050	69928
924	60113	69861
925	60173	69790
926	60239	69727
927	60305	69663
928	60368	69595
929	60430	69527
930	60493	69460
931	60561	69398
932	60634	69342
933	60698	69277
934	60759	69207
935	60825	69143
936	60897	69086
937	60966	69026
938	61038	68968
939	61105	68906
940	61174	68845
941	61263	68807
942	61335	68750
943	61396	68681
944	61461	68615
945	61524	68547
946	61588	68482
947	61659	68423
948	61720	68354
949	61781	68285
950	61844	68217
951	61909	68152
952	61972	68085
953	62036	68019
954	62100	67952
955	62165	67887
956	62232	67824
957	62298	67761
958	62360	67692
959	62424	67626
960	62489	67561
961	62555	67497
962	62632	67445
963	62694	67377
964	62757	67309
965	62821	67243
966	62885	67177
967	62949	67111
968	63020	67052
969	63091	66994
970	63161	66934
971	63235	66878
972	63305	66818
973	63374	66758
974	63445	66699
975	63516	66640
976	63588	66581
977	63669	66533
