feature,importance
Place_ID,25.81478923178118
L3_CO_CO_column_number_density,5.641596782268474
v_component_of_wind_10m_above_ground,4.103214544762005
u_component_of_wind_10m_above_ground,3.6085196455572275
L3_NO2_NO2_slant_column_number_density,3.14202601445367
temperature_2m_above_ground,3.1361666722552832
L3_AER_AI_sensor_altitude,2.905285037730919
specific_humidity_2m_above_ground,1.9365010283787039
relative_humidity_2m_above_ground,1.8816211801110971
L3_HCHO_tropospheric_HCHO_column_number_density,1.8322146941034894
L3_NO2_NO2_column_number_density,1.7866860722353288
L3_O3_O3_column_number_density,1.7077354396958118
precipitable_water_entire_atmosphere,1.5805199348049068
L3_NO2_tropopause_pressure,1.5775417753676797
day,1.5546280929378995
doy_cos,1.4316188220412867
doy_sin,1.4199881982133638
L3_O3_O3_effective_temperature,1.3485527834626472
L3_CLOUD_surface_albedo,1.324916879883851
dayofyear,1.305211973607776
L3_HCHO_tropospheric_HCHO_column_number_density_amf,1.257648263988579
L3_HCHO_HCHO_slant_column_number_density,1.2490847352564978
L3_AER_AI_absorbing_aerosol_index,1.1344213309837075
L3_NO2_stratospheric_NO2_column_number_density,1.0908276595131232
L3_CLOUD_cloud_optical_depth,1.051680851801179
L3_O3_solar_zenith_angle,1.0349762556809023
L3_AER_AI_solar_zenith_angle,0.999261531344303
L3_NO2_tropospheric_NO2_column_number_density,0.944741243646386
L3_CO_H2O_column_number_density,0.9326315774975474
L3_CO_cloud_height,0.9040828233072974
L3_SO2_absorbing_aerosol_index,0.8914322319390938
L3_NO2_solar_zenith_angle,0.8895277260363796
L3_NO2_sensor_altitude,0.8702218290447183
L3_CLOUD_solar_zenith_angle,0.8267569033797386
L3_SO2_solar_zenith_angle,0.8013218844062822
L3_CO_sensor_altitude,0.784018031474537
month,0.7482264937571207
L3_CLOUD_cloud_fraction,0.6874436084127045
L3_CO_solar_zenith_angle,0.6727428303380624
L3_NO2_cloud_fraction,0.6495627717946213
L3_CLOUD_cloud_base_pressure,0.6245054005375467
weekofyear,0.5934199199495809
L3_SO2_SO2_column_number_density_amf,0.5856234521940323
dayofweek,0.5784964524613999
L3_O3_cloud_fraction,0.5676338429333027
L3_CLOUD_cloud_top_pressure,0.5146794314968229
L3_NO2_absorbing_aerosol_index,0.5043831860136252
L3_CLOUD_cloud_base_height,0.47106350659763413
L3_HCHO_cloud_fraction,0.45568970284615684
L3_HCHO_solar_zenith_angle,0.443980438637965
L3_SO2_cloud_fraction,0.4399314861285732
L3_AER_AI_solar_azimuth_angle,0.3991626513814805
L3_CO_solar_azimuth_angle,0.3816451048422821
L3_HCHO_sensor_zenith_angle,0.3542693126433916
L3_NO2_solar_azimuth_angle,0.3533261866847289
L3_CH4_sensor_zenith_angle,0.30638095124818254
L3_NO2_sensor_azimuth_angle,0.28841552861444575
L3_CO_sensor_zenith_angle,0.2819551397054425
L3_AER_AI_sensor_zenith_angle,0.27966965898903434
L3_SO2_sensor_zenith_angle,0.27607367850207004
L3_CLOUD_solar_azimuth_angle,0.26330394497918735
L3_CH4_solar_zenith_angle,0.26209230829293584
L3_SO2_solar_azimuth_angle,0.24267926058540792
L3_CH4_sensor_azimuth_angle,0.22152869110268505
L3_SO2_SO2_slant_column_number_density,0.2191132074208949
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,0.2111035083281955
L3_CLOUD_cloud_top_height,0.21082460085699825
L3_O3_sensor_zenith_angle,0.19768355592782075
L3_NO2_sensor_zenith_angle,0.19760674615333074
L3_SO2_SO2_column_number_density,0.19015415251496887
L3_CO_sensor_azimuth_angle,0.19002528238823407
L3_CH4_solar_azimuth_angle,0.18141125270808386
L3_O3_solar_azimuth_angle,0.17418035819003952
L3_AER_AI_sensor_azimuth_angle,0.15688381776632013
is_weekend,0.13719794297406163
L3_CH4_aerosol_height,0.12676901726747325
L3_CLOUD_sensor_zenith_angle,0.11907778231637878
L3_CLOUD_sensor_azimuth_angle,0.11426535065752116
L3_O3_sensor_azimuth_angle,0.10540098691388558
L3_SO2_sensor_azimuth_angle,0.0955988465684755
L3_HCHO_sensor_azimuth_angle,0.08960956413364025
L3_HCHO_solar_azimuth_angle,0.06882856248519945
L3_CH4_aerosol_optical_depth,0.06441083980514115
year,0.0
