feature,importance_gain,importance_split
Place_ID,725894314.4882574,14163
L3_CO_CO_column_number_density,59613339.61261082,6717
dayofyear,48662442.755477905,6657
L3_NO2_NO2_slant_column_number_density,28818185.011473656,4787
v_component_of_wind_10m_above_ground,28729991.537024498,8202
u_component_of_wind_10m_above_ground,26954942.61183834,7431
L3_AER_AI_sensor_altitude,24649881.313034058,3059
L3_NO2_NO2_column_number_density,21429734.25222206,5095
L3_HCHO_tropospheric_HCHO_column_number_density,19656565.58093071,3647
temperature_2m_above_ground,18986827.422527313,5636
specific_humidity_2m_above_ground,15502862.565315247,5185
relative_humidity_2m_above_ground,13052370.130835533,7057
L3_CLOUD_surface_albedo,11364190.190987587,6005
L3_O3_O3_column_number_density,11063121.950183868,5990
precipitable_water_entire_atmosphere,10958194.835508347,5054
L3_HCHO_HCHO_slant_column_number_density,10671688.165161133,4001
L3_NO2_tropopause_pressure,9405511.98925972,4182
L3_O3_O3_effective_temperature,9254456.475660324,5326
L3_CLOUD_cloud_optical_depth,8669459.551929474,5261
L3_SO2_absorbing_aerosol_index,8499093.31238556,4456
L3_NO2_sensor_altitude,8494247.447807312,2581
month,8458611.579374313,238
L3_NO2_stratospheric_NO2_column_number_density,8271820.861419678,5054
doy_sin,8173933.765659332,1155
L3_HCHO_tropospheric_HCHO_column_number_density_amf,7909523.865113258,3977
L3_CO_H2O_column_number_density,7821061.067781448,4822
day,7808172.172136307,5742
L3_CO_solar_zenith_angle,7569291.395290375,2858
L3_NO2_tropospheric_NO2_column_number_density,7447749.652812958,3902
L3_CO_sensor_altitude,7343281.654247284,2675
L3_AER_AI_absorbing_aerosol_index,6950933.279866219,4862
L3_SO2_SO2_column_number_density_amf,5776114.945070267,3992
L3_NO2_solar_zenith_angle,5643618.130174637,2477
L3_HCHO_cloud_fraction,5428090.364693642,2699
L3_NO2_absorbing_aerosol_index,5267036.855949402,3955
L3_NO2_cloud_fraction,4827588.07265377,4043
L3_CLOUD_cloud_base_height,4791220.610078812,3308
L3_SO2_solar_zenith_angle,4699716.842479706,1663
L3_CO_cloud_height,4340224.896800995,4778
L3_CO_sensor_azimuth_angle,4143344.870645523,2981
L3_O3_solar_zenith_angle,3914019.34094429,2045
L3_CLOUD_cloud_base_pressure,3661653.2817230225,2566
L3_CLOUD_solar_zenith_angle,3608718.530099869,1288
L3_CLOUD_cloud_top_pressure,3507622.9854021072,2402
L3_HCHO_solar_zenith_angle,3431308.2714977264,1894
L3_SO2_SO2_column_number_density,3236889.9883155823,3307
L3_SO2_cloud_fraction,3218013.411140442,2180
L3_CLOUD_cloud_top_height,3173613.8072052,2464
L3_CO_solar_azimuth_angle,3106164.6358127594,2774
dayofweek,2871800.2796525955,2875
doy_cos,2832950.473587036,222
L3_HCHO_solar_azimuth_angle,2817620.6467733383,2022
L3_CLOUD_cloud_fraction,2813404.0843048096,1926
L3_O3_cloud_fraction,2701970.818004608,2373
L3_AER_AI_solar_zenith_angle,2664966.1321640015,1013
L3_SO2_SO2_slant_column_number_density,2556769.1684741974,3466
L3_CH4_aerosol_height,2531945.2023859024,688
L3_CO_sensor_zenith_angle,2393561.925886154,2501
L3_NO2_solar_azimuth_angle,2323563.3507347107,2342
L3_NO2_sensor_zenith_angle,2268063.1107406616,2567
L3_O3_solar_azimuth_angle,2177602.7368240356,1977
L3_SO2_solar_azimuth_angle,2075422.0825977325,1752
L3_HCHO_sensor_zenith_angle,1921418.0060844421,1756
L3_NO2_sensor_azimuth_angle,1880384.8167114258,2171
L3_SO2_sensor_zenith_angle,1821814.9870681763,1505
L3_SO2_sensor_azimuth_angle,1685756.9770774841,1313
L3_O3_sensor_zenith_angle,1684950.2362213135,1931
L3_CH4_CH4_column_volume_mixing_ratio_dry_air,1661214.7963294983,580
L3_CH4_solar_azimuth_angle,1485896.4492063522,510
L3_CH4_solar_zenith_angle,1381863.8286132812,466
L3_AER_AI_solar_azimuth_angle,1363316.8800506592,1416
L3_CH4_sensor_zenith_angle,1358150.7385177612,1263
L3_HCHO_sensor_azimuth_angle,1295349.4661769867,1605
L3_CLOUD_solar_azimuth_angle,1161642.5149784088,1351
L3_O3_sensor_azimuth_angle,1081893.0169124603,1676
L3_CH4_aerosol_optical_depth,1025827.3001194,523
L3_CLOUD_sensor_zenith_angle,905420.9710464478,1197
L3_AER_AI_sensor_zenith_angle,806730.5289001465,1109
L3_CLOUD_sensor_azimuth_angle,719175.717010498,1019
L3_CH4_sensor_azimuth_angle,702324.9867553711,519
L3_AER_AI_sensor_azimuth_angle,545312.7857227325,958
weekofyear,406457.8789920807,231
is_weekend,72624.14649009705,108
year,0.0,0
