Guests;Price avg;Ranking position avg;Number of views;Price difference;Hotel name;Location;Distance;Type;Quality;Rating;Special;Review;Description;Bedrooms;Living Rooms;Bathrooms;Kitchens;Surface Area (m2);Total Beds;Individual Beds;Double Beds;Double Large Beds;Double Extralarge Beds;Sofa Beds;Bunk Beds
4;223.0;148.0;34;37.0;'La Casilla' del Realejo - Casa en el centro;Centro de Granada, Granada;450;apartamento;3;8.8;;15;Casa de 2 dormitorios;2;1;2;0;85;2;0;2;0;0;0;0
4;520.0;248.0;2;-8.0;1 Dream San Diego deluxe;Barrio de Ronda, Granada;600;apartamento;3;10.0;;1;Apartamento de 2 dormitorios;2;1;2;0;70;2;0;2;0;0;0;0
8;615.0;137.0;74;-40.0;1D Apartamento con vistas a la Alhambra;Albaicín, Granada;250;apartamento;3;7.7;;85;Apartamento de 3 dormitorios;3;1;2;1;70;7;2;1;0;0;0;2
8;599.0;101.0;89;-13.0;2D Apartamento en Albaycín, con Parking;Albaicín, Granada;250;apartamento;3;8.2;;47;Apartamento de 2 dormitorios;2;1;2;1;70;6;4;0;0;0;2;0
8;824.0;285.0;97;215.0;3 bedroom Elegant & Cozy City Centre;Centro de Granada, Granada;600;apartamento;4;9.6;;10;2×;3;0;2;2;0;12;8;2;0;0;2;0
6;553.0;328.0;65;188.0;3 bedroom Elegant & Cozy City Centre;Centro de Granada, Granada;600;apartamento;4;9.6;;10;Apartamento de 3 dormitorios;3;1;1;1;75;6;4;1;0;0;1;0
4;180.0;117.0;57;-27.0;31EnjoyGranadaCentro. Parking opcional.;Centro de Granada, Granada;100;;0;8.6;;15;Apartamento de 1 dormitorio;1;0;0;0;0;2;0;1;0;0;1;0
4;174.0;152.0;66;-27.0;33EnjoyGranadaCentro. Parking opcional.;Centro de Granada, Granada;100;apartamento;3;7.9;;10;Apartamento de 1 dormitorio;1;0;0;0;0;2;0;1;0;0;1;0
4;299.0;287.0;31;13.0;4 balconies house, central and near the Alhambra;Centro de Granada, Granada;400;apartamento;3;9.3;;77;Apartamento de 2 dormitorios;2;1;1;1;68;4;2;1;0;0;1;0
8;324.0;157.0;380;-272.0;4U Hostel;Centro de Granada, Granada;350;;0;8.1;preferente;83;Habitación Familiar con baño (8 adultos);0;0;0;0;0;0;0;0;0;0;0;8
6;427.0;194.0;71;23.0;4U Suites;Centro de Granada, Granada;300;apartamento;3;8.2;plus;316;2×;2;0;4;0;0;4;0;2;0;0;2;0
8;692.0;295.0;83;26.0;4U Suites;Centro de Granada, Granada;300;apartamento;3;8.2;plus;316;1×;1;0;2;0;28;1;0;1;0;0;0;0
8;653.0;171.0;49;-75.0;4U Suites;Centro de Granada, Granada;300;apartamento;3;8.2;plus;316;Suite Estándar;1;1;2;0;34;2;0;1;0;0;1;0
8;694.0;247.0;58;81.0;4U Suites;Centro de Granada, Granada;300;apartamento;3;8.2;plus;316;1×;1;1;2;0;40;2;0;1;0;0;1;0
2;153.0;298.0;5;-149.0;6 Calle Profesor Albareda;Genil, Granada;1200;apartamento;3;8.6;;94;Apartamento;1;0;1;1;50;2;2;0;0;0;0;0
4;453.0;330.0;3;115.0;A piece of heaven over the Alhambra 2BR;Albaicín, Granada;700;apartamento;3;7.5;;4;Apartamento;2;0;1;1;65;2;0;2;0;0;0;0
8;425.0;256.0;83;-3.0;AB Pension Granada;Barrio de Ronda, Granada;900;hotel;1;7.2;preferente;940;Habitación Doble con baño compartido;0;0;0;0;0;1;0;1;0;0;0;0
