Origen;Destino;número
Afghanistan;Greece;43042
Algeria;Greece;2416
Dem. Rep. of the Congo;Greece;1086
Iran (Islamic Rep. of);Greece;5905
Iraq;Greece;28574
Kuwait;Greece;345
Others;Greece;8897
Pakistan;Greece;8971
State of Palestine;Greece;2383
Syrian Arab Rep.;Greece;87559
Algeria;Italy;3155
Bangladesh;Italy;17027
Cameroon;Italy;5556
Cote dIvoire;Italy;21334
Egypt;Italy;4963
Eritrea;Italy;26457
Ethiopia;Italy;4137
Gambia;Italy;17620
Ghana;Italy;9421
Guinea;Italy;22706
Iraq;Italy;3032
Libya;Italy;1
Mali;Italy;16750
Morocco;Italy;10067
Nigeria;Italy;55013
Pakistan;Italy;5593
Senegal;Italy;16113
Sierra Leone;Italy;2567
Somalia;Italy;9803
Sudan;Italy;15179
Syrian Arab Rep.;Italy;3384
Tunisia;Italy;6640
Algeria;Spain;5330
Cameroon;Spain;1387
Cote dIvoire;Spain;4575
Dem. Rep. of the Congo;Spain;182
Gambia;Spain;2883
Guinea;Spain;3610
Mali;Spain;280
Morocco;Spain;4719
Nigeria;Spain;62
Others;Spain;1521
Sierra Leone;Spain;253
State of Palestine;Spain;146
Sudan;Spain;39
Syrian Arab Rep.;Spain;1745
